"item","id","resp","testlet","domain","subdomain"
MA1,395,0,MA,arithmetic,addition
MA1,511,0,MA,arithmetic,addition
MA1,398,0,MA,arithmetic,addition
MA1,387,0,MA,arithmetic,addition
MA1,641,0,MA,arithmetic,addition
MA1,293,0,MA,arithmetic,addition
MA1,347,0,MA,arithmetic,addition
MA1,125,0,MA,arithmetic,addition
MA1,413,0,MA,arithmetic,addition
MA1,531,0,MA,arithmetic,addition
MA1,490,0,MA,arithmetic,addition
MA1,538,0,MA,arithmetic,addition
MA1,322,0,MA,arithmetic,addition
MA1,139,0,MA,arithmetic,addition
MA1,234,0,MA,arithmetic,addition
MA1,359,0,MA,arithmetic,addition
MA1,493,0,MA,arithmetic,addition
MA1,328,0,MA,arithmetic,addition
MA1,557,0,MA,arithmetic,addition
MA1,434,0,MA,arithmetic,addition
MA1,425,0,MA,arithmetic,addition
MA1,5,0,MA,arithmetic,addition
MA1,108,0,MA,arithmetic,addition
MA1,155,0,MA,arithmetic,addition
MA1,419,0,MA,arithmetic,addition
MA1,483,0,MA,arithmetic,addition
MA1,655,0,MA,arithmetic,addition
MA1,596,0,MA,arithmetic,addition
MA1,47,0,MA,arithmetic,addition
MA1,41,0,MA,arithmetic,addition
MA1,464,0,MA,arithmetic,addition
MA1,586,0,MA,arithmetic,addition
MA1,382,0,MA,arithmetic,addition
MA1,251,0,MA,arithmetic,addition
MA1,31,0,MA,arithmetic,addition
MA1,317,0,MA,arithmetic,addition
MA1,244,0,MA,arithmetic,addition
MA1,412,0,MA,arithmetic,addition
MA1,4,0,MA,arithmetic,addition
MA1,312,0,MA,arithmetic,addition
MA1,367,0,MA,arithmetic,addition
MA1,102,0,MA,arithmetic,addition
MA1,314,0,MA,arithmetic,addition
MA1,325,0,MA,arithmetic,addition
MA1,376,0,MA,arithmetic,addition
MA1,217,0,MA,arithmetic,addition
MA1,87,0,MA,arithmetic,addition
MA1,252,0,MA,arithmetic,addition
MA1,171,0,MA,arithmetic,addition
MA1,86,0,MA,arithmetic,addition
MA1,100,0,MA,arithmetic,addition
MA1,626,0,MA,arithmetic,addition
MA1,149,0,MA,arithmetic,addition
MA1,78,0,MA,arithmetic,addition
MA1,526,0,MA,arithmetic,addition
MA1,377,0,MA,arithmetic,addition
MA1,204,0,MA,arithmetic,addition
MA1,647,0,MA,arithmetic,addition
MA1,609,0,MA,arithmetic,addition
MA1,135,0,MA,arithmetic,addition
MA1,514,0,MA,arithmetic,addition
MA1,77,0,MA,arithmetic,addition
MA1,513,0,MA,arithmetic,addition
MA1,400,0,MA,arithmetic,addition
MA1,541,0,MA,arithmetic,addition
MA1,553,0,MA,arithmetic,addition
MA1,226,0,MA,arithmetic,addition
MA1,397,0,MA,arithmetic,addition
MA1,574,0,MA,arithmetic,addition
MA1,231,0,MA,arithmetic,addition
MA1,426,0,MA,arithmetic,addition
MA1,345,0,MA,arithmetic,addition
MA1,653,0,MA,arithmetic,addition
MA1,22,0,MA,arithmetic,addition
MA1,26,0,MA,arithmetic,addition
MA1,221,0,MA,arithmetic,addition
MA2,42,0,MA,arithmetic,addition
MA2,611,0,MA,arithmetic,addition
MA2,302,0,MA,arithmetic,addition
MA2,16,0,MA,arithmetic,addition
MA2,519,0,MA,arithmetic,addition
MA2,178,0,MA,arithmetic,addition
MA2,594,0,MA,arithmetic,addition
MA2,223,0,MA,arithmetic,addition
MA2,179,0,MA,arithmetic,addition
MA2,570,0,MA,arithmetic,addition
MA2,451,0,MA,arithmetic,addition
MA2,136,0,MA,arithmetic,addition
MA2,253,0,MA,arithmetic,addition
MA2,266,0,MA,arithmetic,addition
MA2,438,0,MA,arithmetic,addition
MA2,81,0,MA,arithmetic,addition
MA2,416,0,MA,arithmetic,addition
MA2,356,0,MA,arithmetic,addition
MA2,225,0,MA,arithmetic,addition
MA2,102,0,MA,arithmetic,addition
MA2,64,0,MA,arithmetic,addition
MA2,53,0,MA,arithmetic,addition
MA2,419,0,MA,arithmetic,addition
MA2,392,0,MA,arithmetic,addition
MA2,577,0,MA,arithmetic,addition
MA2,539,0,MA,arithmetic,addition
MA2,37,0,MA,arithmetic,addition
MA2,248,0,MA,arithmetic,addition
MA2,293,0,MA,arithmetic,addition
MA2,255,0,MA,arithmetic,addition
MA2,517,0,MA,arithmetic,addition
MA2,497,0,MA,arithmetic,addition
MA2,231,0,MA,arithmetic,addition
MA2,634,0,MA,arithmetic,addition
MA2,450,0,MA,arithmetic,addition
MA2,191,0,MA,arithmetic,addition
MA2,245,0,MA,arithmetic,addition
MA2,612,0,MA,arithmetic,addition
MA2,168,0,MA,arithmetic,addition
MA2,433,0,MA,arithmetic,addition
MA2,31,0,MA,arithmetic,addition
MA2,359,0,MA,arithmetic,addition
MA2,588,0,MA,arithmetic,addition
MA2,305,0,MA,arithmetic,addition
MA2,354,0,MA,arithmetic,addition
MA2,467,0,MA,arithmetic,addition
MA2,418,0,MA,arithmetic,addition
MA2,338,0,MA,arithmetic,addition
MA2,315,0,MA,arithmetic,addition
MA2,355,0,MA,arithmetic,addition
MA2,564,0,MA,arithmetic,addition
MA2,606,0,MA,arithmetic,addition
MA2,316,0,MA,arithmetic,addition
MA2,312,0,MA,arithmetic,addition
MA2,652,0,MA,arithmetic,addition
MA2,23,0,MA,arithmetic,addition
MA2,106,0,MA,arithmetic,addition
MA2,373,0,MA,arithmetic,addition
MA2,205,0,MA,arithmetic,addition
MA2,314,0,MA,arithmetic,addition
MA2,661,0,MA,arithmetic,addition
MA2,157,0,MA,arithmetic,addition
MA2,567,0,MA,arithmetic,addition
MA2,466,0,MA,arithmetic,addition
MA2,381,0,MA,arithmetic,addition
MA2,328,0,MA,arithmetic,addition
