"id","item","rt","resp"
86,1,4.517,0
105,1,3.077,0
46,1,6.195,0
54,1,3.859,0
87,1,5.281,0
116,1,2.132,0
64,1,6.194,0
112,1,5.855,0
121,1,4.129,0
90,1,3.726,0
65,1,3.619,0
93,1,3.897,0
44,1,6.38,0
120,1,3.859,0
57,1,1.003,0
69,1,1.993,0
61,1,1.024,0
73,1,2.747,0
79,2,5.595,0
74,2,4.235,0
102,2,7.018,0
68,2,6.099,0
108,2,1.449,0
57,2,2.371,0
89,2,6.241,0
84,2,4.101,0
61,2,0.937,0
89,3,5.857,0
72,3,3.717,0
83,3,7.102,0
82,3,3.67,0
98,3,3.033,0
115,3,2.151,0
51,3,7.405,0
116,3,1.819,0
90,3,2.517,0
100,3,2.469,0
108,3,2.144,0
111,3,5.537,0
96,3,5.349,0
55,3,2.177,0
106,3,7.125,0
95,3,6.41,0
72,4,3.504,0
67,4,4.699,0
102,4,4.536,0
47,4,4.259,0
117,4,6.635,0
70,4,5.899,0
73,4,6.731,0
82,4,4.059,0
105,4,4.967,0
85,4,1.658,0
55,4,1.606,0
118,4,3.218,0
50,4,2.842,0
112,4,5.823,0
69,4,2.322,0
101,4,2.925,0
51,4,5.387,0
64,4,5.515,0
88,4,2.438,0
108,4,1.678,0
92,4,5.203,0
113,4,4.567,0
54,4,4.042,0
57,4,1.179,0
49,4,4.204,0
98,4,1.201,0
96,5,5.335,0
75,5,2.789,0
95,5,4.261,0
89,5,6.733,0
78,5,3.5,0
107,5,1.871,0
69,5,1.669,0
57,5,1.084,0
58,6,1.844,0
83,6,3.212,0
108,6,1.579,0
57,6,1.011,0
79,6,2.906,0
96,6,7.059,0
101,6,3.601,0
70,6,3.132,0
80,6,2.052,0
82,6,4.106,0
62,6,3.835,0
45,6,2.971,0
68,6,7.267,0
57,7,1.067,0
65,7,5.932,0
107,7,5.091,0
55,7,1.176,0
85,7,2.602,0
89,7,5.386,0
116,7,3.034,0
82,7,5.159,0
69,7,1.62,0
72,7,3.86,0
91,7,4.428,0
89,8,3.985,0
113,8,4.588,0
78,8,1.506,0
57,8,0.961,0
44,9,4.837,0
121,9,2.059,0
98,9,4.79,0
68,9,4.379,0
105,9,5.11,0
116,9,3.119,0
54,9,3.86,0
47,9,2.642,0
85,9,3.219,0
111,9,3.118,0
61,9,0.882,0
86,9,2.451,0
108,9,1.331,0
120,9,1.627,0
83,10,2.585,0
72,10,3.676,0
81,10,2.644,0
57,10,1.14,0
54,10,2.371,0
71,10,3.334,0
85,10,2.378,0
88,10,1.63,0
121,10,7.262,0
90,10,2.923,0
102,10,2.959,0
110,10,6.202,0
44,10,4.478,0
95,10,4.89,0
92,10,4.143,0
113,10,2.948,0
5,1,2.569,1
92,1,2.734,1
49,1,3.628,1
107,1,2.101,1
53,1,2.403,1
17,1,1.198,1
12,1,3.931,1
37,1,5.683,1
110,1,1.942,1
106,1,5.055,1
9,1,1.451,1
117,1,2.371,1
40,1,2.954,1
81,1,1.883,1
24,1,4.288,1
94,1,2.075,1
62,1,3.626,1
2,1,4.508,1
74,1,1.707,1
19,1,1.334,1
32,1,1.952,1
36,1,1.791,1
78,1,5.467,1
95,1,5.288,1
96,1,4.324,1
98,1,4.763,1
52,1,5.055,1
27,1,1.652,1
88,1,1.851,1
22,1,2.27,1
29,1,2.84,1
70,1,5.011,1
63,1,2.531,1
101,1,2.218,1
47,1,3.396,1
115,1,3.636,1
14,1,1.775,1
28,1,2.469,1
109,1,1.569,1
99,1,4.215,1
50,1,2.691,1
108,1,3.833,1
119,1,3.108,1
56,1,3.667,1
82,1,3.392,1
31,1,3.381,1
51,1,2.859,1
39,1,2.742,1
42,1,2.133,1
58,1,2.499,1
41,1,2.676,1
1,1,4.444,1
10,1,3.813,1
76,1,3.939,1
84,1,6.643,1
8,1,2.468,1
15,1,2.207,1
30,1,1.487,1
23,1,1.506,1
111,1,4.686,1
104,1,2.3,1
7,1,4.127,1
3,1,1.7,1
6,1,4.623,1
43,1,3.032,1
103,1,2.312,1
89,1,2.142,1
68,1,2.699,1
85,1,2.415,1
21,1,1.493,1
83,1,2.97,1
25,1,1.688,1
77,1,3.787,1
79,1,2.569,1
60,1,3.667,1
34,1,1.486,1
114,1,4.491,1
97,1,5.862,1
35,1,2.226,1
91,1,2.352,1
45,1,2.195,1
20,1,3.645,1
102,1,2.109,1
71,1,5.869,1
113,1,3.764,1
13,1,0.979,1
18,1,3.034,1
38,1,1.947,1
66,1,3.059,1
59,1,1.483,1
118,1,2.144,1
16,1,2.497,1
55,1,2.146,1
33,1,3.765,1
67,1,5.059,1
4,1,1.636,1
26,1,5.629,1
100,1,2.224,1
80,1,2.962,1
75,1,2.674,1
11,1,1.477,1
72,1,5.46,1
14,2,1.98,1
33,2,3.699,1
8,2,5.723,1
4,2,2.63,1
15,2,1.249,1
29,2,2.921,1
62,2,2.571,1
88,2,0.735,1
64,2,5.69,1
16,2,2.741,1
40,2,1.884,1
86,2,3.088,1
87,2,6.815,1
70,2,1.779,1
100,2,2.882,1
17,2,2.528,1
69,2,1.201,1
43,2,2.829,1
65,2,2.945,1
66,2,1.563,1
18,2,3.206,1
63,2,1.386,1
37,2,4.319,1
30,2,1.171,1
34,2,2.163,1
39,2,2.882,1
28,2,1.932,1
105,2,3.233,1
52,2,1.338,1
107,2,2.198,1
114,2,1.571,1
26,2,3.253,1
111,2,1.007,1
78,2,1.841,1
49,2,5.484,1
110,2,1.244,1
13,2,0.839,1
80,2,2.963,1
118,2,1.706,1
91,2,2.312,1
10,2,3.263,1
103,2,1.312,1
82,2,4.32,1
11,2,0.997,1
106,2,4.711,1
71,2,4.281,1
72,2,3.219,1
1,2,2.328,1
59,2,4.34,1
19,2,1.176,1
121,2,6.254,1
75,2,2.083,1
116,2,0.724,1
22,2,4.243,1
94,2,1.733,1
60,2,0.923,1
6,2,3.021,1
51,2,1.458,1
48,2,2.802,1
44,2,4.073,1
3,2,1.205,1
54,2,3.056,1
85,2,1.401,1
20,2,2.77,1
12,2,4.766,1
31,2,2.176,1
67,2,5.882,1
38,2,1.808,1
9,2,3.219,1
101,2,2.171,1
113,2,1.657,1
97,2,2.973,1
98,2,4.338,1
92,2,2.594,1
27,2,2.921,1
99,2,3.403,1
23,2,1.005,1
117,2,1.32,1
32,2,1.178,1
104,2,1.536,1
41,2,2.449,1
58,2,2.418,1
83,2,2.922,1
81,2,2.658,1
5,2,1.65,1
77,2,1.602,1
25,2,1.841,1
115,2,2.128,1
36,2,2.037,1
96,2,5.323,1
46,2,3.522,1
73,2,4.427,1
35,2,4.408,1
24,2,4.818,1
90,2,6.246,1
21,2,1.317,1
45,2,2.13,1
95,2,3.496,1
76,2,5.578,1
42,2,1.98,1
2,2,4.424,1
112,2,4.424,1
7,2,1.677,1
55,2,0.858,1
56,2,0.923,1
47,2,3.354,1
119,2,5.265,1
120,2,2.093,1
53,2,2.681,1
26,3,4.592,1
84,3,5.263,1
67,3,2.468,1
113,3,1.125,1
81,3,3.109,1
61,3,0.972,1
86,3,2.861,1
53,3,2.532,1
78,3,3.926,1
117,3,2.894,1
120,3,2.477,1
24,3,3.156,1
22,3,1.489,1
110,3,1.319,1
48,3,6.237,1
77,3,4.629,1
35,3,4.166,1
99,3,6.281,1
88,3,1.316,1
103,3,2.97,1
59,3,2.597,1
118,3,5.366,1
7,3,4.554,1
42,3,2.934,1
4,3,1.454,1
109,3,4.08,1
92,3,2.886,1
9,3,2.421,1
16,3,1.694,1
39,3,4.596,1
69,3,1.54,1
40,3,1.671,1
19,3,0.882,1
101,3,6.445,1
18,3,2.661,1
32,3,2.002,1
33,3,3.469,1
23,3,4.605,1
121,3,4.539,1
21,3,2.28,1
8,3,4.204,1
50,3,2.388,1
34,3,2.296,1
41,3,2.009,1
38,3,2.267,1
45,3,2.453,1
119,3,2.494,1
47,3,4.148,1
54,3,4.66,1
13,3,1.387,1
75,3,2.508,1
36,3,2.536,1
11,3,1.508,1
5,3,2.514,1
49,3,4.742,1
73,3,3.884,1
114,3,3.968,1
28,3,2.369,1
58,3,2.045,1
80,3,2.293,1
93,3,2.381,1
102,3,4.232,1
63,3,1.931,1
76,3,2.326,1
15,3,2.033,1
85,3,4.243,1
66,3,4.349,1
6,3,3.205,1
64,3,6.812,1
17,3,2.294,1
60,3,2.117,1
30,3,1.473,1
12,3,3.816,1
87,3,5.951,1
65,3,4.06,1
68,3,5.972,1
104,3,3.45,1
44,3,3.967,1
56,3,2.117,1
3,3,1.216,1
31,3,4.617,1
97,3,3.427,1
79,3,3.069,1
91,3,3.683,1
107,3,3.848,1
1,3,3.408,1
25,3,3.079,1
10,3,3.149,1
14,3,2.964,1
105,3,5.18,1
37,3,3.326,1
112,3,6.017,1
43,3,3.042,1
52,3,2.521,1
20,3,5.889,1
27,3,2.939,1
71,3,1.8,1
29,3,3.821,1
74,3,3.452,1
70,3,3.036,1
62,3,2.829,1
46,3,4.691,1
57,3,1.116,1
99,4,4.494,1
71,4,3.059,1
59,4,3.41,1
52,4,3.302,1
66,4,3.588,1
86,4,2.946,1
116,4,1.145,1
94,4,3.352,1
30,4,2.861,1
11,4,2.175,1
111,4,4.958,1
77,4,6.916,1
107,4,5.396,1
3,4,1.265,1
16,4,1.501,1
75,4,3.779,1
39,4,4.832,1
95,4,3.71,1
8,4,3.967,1
37,4,2.789,1
45,4,6.097,1
80,4,2.977,1
56,4,3.107,1
9,4,1.658,1
29,4,4.565,1
78,4,5.955,1
110,4,1.447,1
24,4,4.209,1
119,4,5.482,1
58,4,3.043,1
89,4,3.059,1
32,4,3.559,1
13,4,1.905,1
27,4,2.776,1
34,4,2.148,1
62,4,5.443,1
19,4,2.88,1
115,4,5.638,1
65,4,5.466,1
93,4,3.811,1
121,4,4.609,1
68,4,6.33,1
103,4,3.436,1
100,4,6.539,1
84,4,2.394,1
25,4,2.767,1
79,4,4.691,1
21,4,4.48,1
90,4,4.806,1
7,4,1.729,1
38,4,2.904,1
10,4,3.706,1
20,4,5.957,1
91,4,3.379,1
53,4,3.523,1
83,4,5.292,1
76,4,3.867,1
36,4,3.284,1
42,4,3.119,1
2,4,5.745,1
104,4,1.683,1
114,4,6.527,1
23,4,3.066,1
96,4,4.561,1
5,4,4.2,1
22,4,5.205,1
97,4,3.28,1
15,4,1.987,1
63,4,1.986,1
106,4,5.497,1
61,4,1.146,1
4,4,2.599,1
28,4,4.382,1
31,4,3.27,1
18,4,5.497,1
6,4,4.62,1
48,4,3.683,1
74,4,3.138,1
