"resp","rt","item","elo","id"
,10000,Y23,-0.71637137198826462,147
,10000,Y27,-0.71637137198826462,147
,10000,Y39,-0.71637137198826462,147
,10000,Y40,-0.71637137198826462,147
,10000,Y29,-0.71637137198826462,147
,10000,Y21,-0.71637137198826462,147
,10000,Y37,-0.71637137198826462,147
,10000,Y6,-0.71637137198826462,147
,10000,Y20,-0.71637137198826462,147
,10000,Y2,-0.71637137198826462,147
,10000,Y36,-0.71637137198826462,147
,10000,Y12,-0.71637137198826462,147
,10000,Y28,-0.71637137198826462,147
,10000,Y15,-0.71637137198826462,147
,10000,Y16,-0.71637137198826462,147
,10000,Y1,-0.71637137198826462,147
,10000,Y30,-0.71637137198826462,147
,10000,Y9,-0.71637137198826462,147
,10000,Y19,-0.71637137198826462,147
,10000,Y17,-0.71637137198826462,147
,10000,Y35,-0.71637137198826462,147
,10000,Y5,-0.71637137198826462,147
,10000,Y24,-0.71637137198826462,147
,10000,Y13,-0.71637137198826462,147
,10000,Y31,-0.71637137198826462,147
,10000,Y34,-0.71637137198826462,147
,10000,Y22,-0.71637137198826462,147
,10000,Y25,-0.71637137198826462,147
,10000,Y10,-0.71637137198826462,147
,10000,Y33,-0.71637137198826462,147
,10000,Y11,-0.71637137198826462,147
,10000,Y38,-0.71637137198826462,147
,10000,Y26,-0.71637137198826462,147
,10000,Y4,-0.71637137198826462,147
,10000,Y8,-0.71637137198826462,147
,10000,Y14,-0.71637137198826462,147
,10000,Y18,-0.71637137198826462,147
,10000,Y32,-0.71637137198826462,147
,10000,Y7,-0.71637137198826462,147
,10000,Y3,-0.71637137198826462,147
,10000,Y2,0,201
,10000,Y24,0,201
,10000,Y34,0,201
,10000,Y40,0,201
,10000,Y22,0,201
,10000,Y19,0,201
,10000,Y12,0,201
,10000,Y36,0,201
,10000,Y7,0,201
,10000,Y39,0,201
,10000,Y23,0,201
,10000,Y15,0,201
,10000,Y6,0,201
,10000,Y33,0,201
,10000,Y14,0,201
,10000,Y31,0,201
,10000,Y3,0,201
,10000,Y35,0,201
,10000,Y8,0,201
,10000,Y28,0,201
,10000,Y11,0,201
,10000,Y21,0,201
,10000,Y18,0,201
,10000,Y9,0,201
,10000,Y29,0,201
,10000,Y4,0,201
,10000,Y13,0,201
,10000,Y20,0,201
,10000,Y17,0,201
,10000,Y16,0,201
,10000,Y25,0,201
,10000,Y27,0,201
,10000,Y10,0,201
,10000,Y1,0,201
,10000,Y37,0,201
,10000,Y26,0,201
,10000,Y32,0,201
,10000,Y30,0,201
,10000,Y5,0,201
,10000,Y38,0,201
,10000,Y1,1.4776638180912787,209
,10000,Y27,1.4776638180912787,209
,10000,Y24,1.4776638180912787,209
,10000,Y12,1.4776638180912787,209
,10000,Y6,1.4776638180912787,209
,10000,Y8,1.4776638180912787,209
,10000,Y26,1.4776638180912787,209
,10000,Y10,1.4776638180912787,209
,10000,Y14,1.4776638180912787,209
,10000,Y16,1.4776638180912787,209
,10000,Y29,1.4776638180912787,209
,10000,Y33,1.4776638180912787,209
,10000,Y39,1.4776638180912787,209
,10000,Y5,1.4776638180912787,209
,10000,Y15,1.4776638180912787,209
,10000,Y36,1.4776638180912787,209
,10000,Y18,1.4776638180912787,209
,10000,Y38,1.4776638180912787,209
,10000,Y13,1.4776638180912787,209
,10000,Y37,1.4776638180912787,209
,10000,Y21,1.4776638180912787,209
,10000,Y11,1.4776638180912787,209
,10000,Y28,1.4776638180912787,209
,10000,Y30,1.4776638180912787,209
,10000,Y19,1.4776638180912787,209
,10000,Y2,1.4776638180912787,209
,10000,Y22,1.4776638180912787,209
,10000,Y35,1.4776638180912787,209
,10000,Y34,1.4776638180912787,209
,10000,Y25,1.4776638180912787,209
,10000,Y20,1.4776638180912787,209
,10000,Y32,1.4776638180912787,209
,10000,Y23,1.4776638180912787,209
,10000,Y4,1.4776638180912787,209
,10000,Y17,1.4776638180912787,209
,10000,Y7,1.4776638180912787,209
,10000,Y31,1.4776638180912787,209
,10000,Y40,1.4776638180912787,209
,10000,Y9,1.4776638180912787,209
,10000,Y3,1.4776638180912787,209
0,30,Y30,-0.73030175414749976,256
0,11.317,Y36,-0.73030175414749976,256
0,17.783,Y15,-0.73030175414749976,256
0,13.05,Y29,-0.73030175414749976,256
0,28.717,Y12,-0.73030175414749976,256
0,6.05,Y24,-0.73030175414749976,256
0,13.2,Y26,-0.73030175414749976,256
0,24.15,Y17,-0.73030175414749976,256
0,6.1,Y35,-0.73030175414749976,256
0,19.467,Y19,-0.73030175414749976,256
0,8.783,Y28,-0.73030175414749976,256
0,10.717,Y10,-0.73030175414749976,256
0,23.583,Y14,-0.73030175414749976,256
0,8.317,Y18,-0.73030175414749976,256
0,9.433,Y38,-0.73030175414749976,256
0,19.45,Y37,-0.73030175414749976,256
0,23.667,Y8,-0.73030175414749976,256
0,9.883,Y4,-0.73030175414749976,256
0,8.217,Y34,-0.73030175414749976,256
0,16.067,Y25,-0.73030175414749976,256
0,17.367,Y11,-0.73030175414749976,256
0,4.2,Y5,-0.73030175414749976,256
0,6.733,Y22,-0.73030175414749976,256
